datum,event_code,goldstein_scale,num_sources,geo_country,geo_country_code,geo_lat,geo_long,sourceurls
08-04-18,180,-9,1,"Canberra, Australian Capital Territory, Australia",AS,-35.2833,149.217,http://www.tntmagazine.com/news/australia-news/julia-gillard-aide-quits-in-wake-of-australia-day-aboriginal-protest
08-04-18,181,-9,1,"Paris, France (general), France",FR,48.8667,2.33333,https://www.tweeddailynews.com.au/news/policeman-shot-hostages-taken-in-france-media-repo/3369597/
08-04-18,182,-9.5,1,"Trump Tower, New York, United States",US,40.7625,-73.9744,http://kfor.com/2018/04/07/fire-breaks-out-at-trump-tower-in-nyc/
08-04-18,182,-9.5,1,"New York, United States",US,42.1497,-74.9384,http://kfor.com/2018/04/07/fire-breaks-out-at-trump-tower-in-nyc/
08-04-18,182,-9.5,1,"Manhattan, New York, United States",US,40.7834,-73.9662,http://kfor.com/2018/04/07/fire-breaks-out-at-trump-tower-in-nyc/
08-04-18,182,-9.5,1,"Trump Tower, New York, United States",US,40.7625,-73.9744,http://kfor.com/2018/04/07/fire-breaks-out-at-trump-tower-in-nyc/
08-04-18,182,-9.5,19,"Berlin, Berlin, Germany",GM,52.5167,13.4,https://www.bozemandailychronicle.com/ap_news/international/the-latest-german-pub-owners-express-sadness-over-crash/article_c6deed5b-3337-54c6-9799-42b5e37ddbda.html
08-04-18,182,-9.5,1,Germany,GM,51.5,10.5,http://gazette.com/the-latest-german-pub-owners-express-sadness-over-crash/article/feed/554799
08-04-18,180,-9,3,"London, London, City of, United Kingdom",UK,51.5,-0.116667,http://torontosun.com/news/provincial/london-principal-faces-sex-related-charges-police
08-04-18,180,-9,1,"Salt Lake, Utah, United States",US,39.1559,-112.691,http://www.ktvq.com/story/37902784/report-finds-sexual-misconduct-in-usu-piano-program-went-back-decades
08-04-18,180,-9,1,"Utah State University, Utah, United States",US,41.741,-111.813,http://www.ktvq.com/story/37902784/report-finds-sexual-misconduct-in-usu-piano-program-went-back-decades
08-04-18,180,-9,10,"Moscow, Moskva, Russia",RS,55.7522,37.6156,http://www.eagletribune.com/region/violence-claims-more-lives-in-syrian-capital-and-suburbs/article_666c8a1f-7fc9-5d69-97ce-11f0c2a1aae9.html
08-04-18,180,-9,1,"Moscow, Moskva, Russia",RS,55.7522,37.6156,http://www.eagletribune.com/region/violence-claims-more-lives-in-syrian-capital-and-suburbs/article_666c8a1f-7fc9-5d69-97ce-11f0c2a1aae9.html
08-04-18,182,-9.5,3,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://english.wafa.ps/page.aspx?id=yqLJJXa97198726878ayqLJJX
08-04-18,182,-9.5,1,"Bureij, Yerushalayim, Israel",IS,31.7333,34.9333,http://english.wafa.ps/page.aspx?id=yqLJJXa97199678631ayqLJJX
08-04-18,182,-9.5,2,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://english.wafa.ps/page.aspx?id=yqLJJXa97199678631ayqLJJX
08-04-18,180,-9,3,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://www.palestinechronicle.com/palestine-resolution-ndp-exposes-hollow-nature-democracy/
08-04-18,180,-9,1,"Ramallah, West Bank (general), West Bank",WE,31.9026,35.1955,http://english.wafa.ps/page.aspx?id=cJyiuYa97197775125acJyiuY
08-04-18,182,-9.5,3,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://english.wafa.ps/page.aspx?id=yqLJJXa97198726878ayqLJJX
08-04-18,182,-9.5,2,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://english.wafa.ps/page.aspx?id=yqLJJXa97198726878ayqLJJX
08-04-18,182,-9.5,7,"Gaza, Israel (general), Israel",IS,31.4167,34.3333,http://english.wafa.ps/page.aspx?id=yqLJJXa97198726878ayqLJJX
08-04-18,182,-9.5,5,"Monroe County, New York, United States",US,43.1501,-77.6831,http://www.wkrg.com/news/crime/police-mom-used-kitchen-knife-to-decapitate-son/1106522100
08-04-18,182,-9.5,5,Sweden,SW,62,15,http://www.wkrg.com/news/crime/police-mom-used-kitchen-knife-to-decapitate-son/1106522100
08-04-18,182,-9.5,5,"Monroe County, New York, United States",US,43.1501,-77.6831,http://www.wkrg.com/news/crime/police-mom-used-kitchen-knife-to-decapitate-son/1106522100
08-04-18,180,-9,1,"Chicago, Illinois, United States",US,41.85,-87.6501,http://forum.pafoa.org/external.php?s=944665e9be0ec0f04d66338c27e6d8a4&type=RSS2&forumids=11
08-04-18,180,-9,11,"Chicago, Illinois, United States",US,41.85,-87.6501,http://forum.pafoa.org/external.php?s=944665e9be0ec0f04d66338c27e6d8a4&type=RSS2&forumids=11
08-04-18,180,-9,49,"Florida, United States",US,27.8333,-81.717,http://www.herald-dispatch.com/ap/ap_nation/democrats-even-in-gop-country-shift-toward-gun-restrictions/article_067b4ab6-2468-5320-85d4-9cbfcfb3ef13.html
08-04-18,180,-9,50,"Nebraska, United States",US,41.1289,-98.2883,http://www.herald-dispatch.com/ap/ap_nation/democrats-even-in-gop-country-shift-toward-gun-restrictions/article_067b4ab6-2468-5320-85d4-9cbfcfb3ef13.html
08-04-18,180,-9,52,"Ohio, United States",US,40.3736,-82.7755,http://www.dailymail.co.uk/news/article-5589297/Ohio-State-revokes-Bill-Cosbys-honorary-degree-amid-retrial.html
08-04-18,1822,-9,2,"White House, District of Columbia, United States",US,38.8951,-77.0364,https://moderndiplomacy.eu/2018/04/07/trumpeting-tight-the-american-right/
08-04-18,1822,-9,1,Iraq,IZ,33,44,https://moderndiplomacy.eu/2018/04/07/trumpeting-tight-the-american-right/
08-04-18,186,-10,1,"Great Salt Lake, Utah, United States",US,41.1643,-112.548,https://www.sltrib.com/opinion/editorial/2018/04/07/tribune-editorial-utah-and-idaho-need-to-be-clear-about-their-need-for-water-in-bear-lake/
08-04-18,180,-9,1,"Pennsylvania, United States",US,40.5773,-77.264,http://forum.pafoa.org/external.php?s=944665e9be0ec0f04d66338c27e6d8a4&type=RSS2&forumids=10
08-04-18,180,-9,1,"Pennsylvania, United States",US,40.5773,-77.264,http://forum.pafoa.org/external.php?s=944665e9be0ec0f04d66338c27e6d8a4&type=RSS2&forumids=10
08-04-18,1821,-9,1,"Rotherham, Rotherham, United Kingdom",UK,53.4333,-1.35,https://www.thesun.co.uk/news/5998837/sammy-woodhouse-victim-rotherham-paedo-social-services-police-failure/
08-04-18,186,-10,2,"Hokoyo, Masvingo, Zimbabwe",ZI,-19.8756,31.6896,https://www.thezimbabwedaily.com/news/202747-amazing-grace-should-we-continue-the-ridicule.html
08-04-18,186,-10,1,"Louisiana, United States",US,31.1801,-91.8749,https://www.memphisdailynews.com/news/2018/apr/7/strickland-jeered-over-duran-arrest-during-mlk50-event/
08-04-18,186,-10,1,"Louisiana, United States",US,31.1801,-91.8749,https://www.memphisdailynews.com/news/2018/apr/7/strickland-jeered-over-duran-arrest-during-mlk50-event/
08-04-18,186,-10,1,"Louisiana, United States",US,31.1801,-91.8749,https://www.memphisdailynews.com/news/2018/apr/7/strickland-jeered-over-duran-arrest-during-mlk50-event/
08-04-18,181,-9,1,"Kunduz, Kondoz, Afghanistan",AF,36.729,68.857,http://tns.thenews.com.pk/prospect-peace-shatters/
08-04-18,181,-9,1,"Kunduz, Kondoz, Afghanistan",AF,36.729,68.857,http://tns.thenews.com.pk/prospect-peace-shatters/
08-04-18,181,-9,1,"Dewsbury, Kirklees, United Kingdom",UK,53.7,-1.61667,http://my.tvguide.co.uk/channellisting.asp?ch=394&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,181,-9,2,Australia,AS,-25,135,http://my.tvguide.co.uk/channellisting.asp?ch=394&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,182,-9.5,22,"Sydney, New South Wales, Australia",AS,-33.8833,151.217,http://www.bendigoadvertiser.com.au/story/5328978/new-slow-down-rule-set-for-nsw-roads/
08-04-18,181,-9,1,"Dewsbury, Kirklees, United Kingdom",UK,53.7,-1.61667,http://my.tvguide.co.uk/channellisting.asp?ch=394&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,181,-9,1,Australia,AS,-25,135,http://my.tvguide.co.uk/channellisting.asp?ch=394&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,180,-9,1,Iraq,IZ,33,44,http://www.kusi.com/former-carlsbad-police-officer-arrested-burglary-stalking/
08-04-18,181,-9,1,"Los Angeles, California, United States",US,34.0522,-118.244,http://my.tvguide.co.uk/channellisting.asp?ch=157&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,180,-9,2,"Iowa, United States",US,42.0046,-93.214,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,1,"Parramatta, New South Wales, Australia",AS,-33.8167,151,https://www.dailytelegraph.com.au/news/nsw/a-trio-frenchman-involved-in-a-fight-outside-mcdonalds-circular-quay-recover-with-a-cigarette/news-story/9ce75e0e111fe71263d51be56faef6c1?nk=b0b1cdefe9cf47a3c9af55c5adbcc3d5-1523145708
08-04-18,180,-9,1,France,FR,46,2,https://www.dailytelegraph.com.au/news/nsw/a-trio-frenchman-involved-in-a-fight-outside-mcdonalds-circular-quay-recover-with-a-cigarette/news-story/9ce75e0e111fe71263d51be56faef6c1?nk=b0b1cdefe9cf47a3c9af55c5adbcc3d5-1523145708
08-04-18,181,-9,3,,,0,0,http://punchng.com/gunmen-abduct-kill-pastor-in-edo/
08-04-18,181,-9,1,"Los Angeles, California, United States",US,34.0522,-118.244,http://my.tvguide.co.uk/channellisting.asp?ch=157&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,180,-9,2,,,0,0,http://www.wbtw.com/news/community-members-walk-to-help-sexual-assault-victims-break-the-silence/1106517358
08-04-18,182,-9.5,2,Germany,GM,51.5,10.5,https://www.efe.com/efe/english/world/police-confirm-3-dead-20-injured-after-truck-rams-crowd-in-germany/50000262-3576624
08-04-18,180,-9,3,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,1,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,1821,-9,1,"Rotherham, Rotherham, United Kingdom",UK,53.4333,-1.35,https://www.thesun.co.uk/news/5998837/sammy-woodhouse-victim-rotherham-paedo-social-services-police-failure/
08-04-18,180,-9,1,"Bathurst, Banjul, Gambia",GA,13.4531,-16.5775,https://www.westernmagazine.com.au/story/5327914/truck-driver-convicted-over-road-rage-incident-in-bathurst/?cs=1927
08-04-18,180,-9,10,"Istanbul, Istanbul, Turkey",TU,41.0186,28.9647,https://www.chieftain.com/news/violence-claims-more-lives-in-syrian-capital-and-suburbs/article_2ad2703a-3fc1-56fe-9e71-4df1da3ebfb2.html
08-04-18,180,-9,1,,,0,0,http://www.nsnews.com/news/second-kinder-morgan-pipeline-protester-charged-with-assaulting-burnaby-mountie-1.23258911
08-04-18,180,-9,5,,,0,0,http://punchng.com/whistle-blowing-anambra-council-boss-beats-up-worker/
08-04-18,180,-9,1,"Larkhall, South Lanarkshire, United Kingdom",UK,55.7333,-3.96667,http://my.tvguide.co.uk/channellisting.asp?ch=493&cTime=4/8/2018%201:00:00%20AM&thisTime=&thisDay=
08-04-18,186,-10,1,"Kogi, Nigeria (general), Nigeria",NI,12.55,6.63333,http://thenationonlineng.net/cruel-mockery-policing-kogi/
08-04-18,181,-9,1,,,0,0,http://punchng.com/gunmen-abduct-kill-pastor-in-edo/
08-04-18,180,-9,1,"Sioux City, Iowa, United States",US,42.5,-96.4003,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,1,"Des Moines, Iowa, United States",US,41.6005,-93.6091,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
08-04-18,180,-9,4,"Colorado, United States",US,39.0646,-105.327,https://www.thedenverchannel.com/news/crime/colorado-officials-say-prison-inmate-assaults-injures-guard
08-04-18,180,-9,4,"Iowa, United States",US,42.0046,-93.214,http://www.kcci.com/article/iowa-state-university-investigating-sexual-assault-report/19710253
